Date,price,ema_fast,ema_slow,macd,signal,hist,macd_above_signal,macd_above_zero,cross_signal,cross_zero
2000-01-04,0.7678022980690002,0.7678022980690002,0.7678022980690002,0.0,0.0,0.0,0,0,,
2000-01-05,0.779037594795227,0.7695308052576505,0.768634542270943,0.00089626298670753,0.000179252597341506,0.000717010389366024,1,1,1.0,1.0
2000-01-06,0.7116212248802185,0.7606216390457379,0.7644113335753338,-0.0037896945295958773,-0.0006145368280459707,-0.0031751577015499063,0,0,-1.0,-1.0
2000-01-07,0.745329737663269,0.7582690388330504,0.7629978820262919,-0.0047288431932415165,-0.0014373981010850799,-0.0032914450921564366,0,0,0.0,0.0
2000-01-10,0.7322210073471069,0.7542616493736745,0.7607181135315375,-0.006456464157863051,-0.0024412113124406744,-0.004015252845422377,0,0,0.0,0.0
2000-01-11,0.6947673559188843,0.7451086811498606,0.7558328722268965,-0.010724191077035927,-0.004097807265359726,-0.0066263838116762015,0,0,0.0,0.0
2000-01-12,0.6531001329421997,0.7309535198871435,0.7482230396872894,-0.017269519800145905,-0.006732149772316962,-0.010537370027828943,0,0,0.0,0.0
2000-01-13,0.7247299551963806,0.7299960483962569,0.7464828112064814,-0.016486762810224542,-0.008683072379898479,-0.007803690430326063,0,0,0.0,0.0
2000-01-14,0.7523520588874817,0.7334354346256761,0.746917570293963,-0.013482135668286932,-0.00964288503757617,-0.003839250630710762,0,0,0.0,0.0
2000-01-18,0.778569757938385,0.7403791766737852,0.7492621767861425,-0.00888300011235732,-0.0094909080525324,0.0006079079401750797,1,0,1.0,0.0
2000-01-19,0.7982332706451416,0.7492798065155323,0.7528896652201424,-0.0036098587046101693,-0.008314698182947954,0.004704839478337785,1,0,0.0,0.0
2000-01-20,0.8502004146575928,0.7648060539220032,0.7600978688821758,0.004708185039827395,-0.005710121538392884,0.01041830657822028,1,1,0.0,1.0
2000-01-21,0.8338146209716797,0.7754227565450303,0.7655583690369538,0.0098643875080765,-0.002595219729099008,0.012459607237175508,1,1,0.0,0.0
2000-01-24,0.7958925366401672,0.7785719534827438,0.7678053444149697,0.010766609067774047,7.714603027560336e-05,0.010689463037498443,1,1,0.0,0.0
2000-01-25,0.8408365845680237,0.7881511274958637,0.7732150659077885,0.014936061588075145,0.003048929141835512,0.011887132446239634,1,1,0.0,0.0
2000-01-26,0.8253872990608215,0.793879769275088,0.7770796757709761,0.016800093504111824,0.005799162014290774,0.01100093148982105,1,1,0.0,0.0
2000-01-27,0.8239827752113342,0.7985110009575874,0.7805539794332248,0.017957021524362626,0.008230733916305145,0.009726287608057481,1,1,0.0,0.0
2000-01-28,0.7612475752830505,0.7927781662384279,0.7791238754221008,0.013654290816327075,0.009315445296309531,0.004338845520017544,1,1,0.0,0.0
2000-01-31,0.7771653532981873,0.7903761950168524,0.7789787997092184,0.011397395307634062,0.009731835298574437,0.0016655600090596245,1,1,0.0,0.0
2000-02-01,0.7509475946426392,0.7843102564977427,0.776902414148731,0.007407842349011706,0.009267036708661892,-0.0018591943596501861,0,1,-1.0,0.0
2000-02-02,0.7401794195175171,0.7775208969623234,0.7741821923241966,0.0033387046381267993,0.008081370294554874,-0.004742665656428075,0,1,0.0,0.0
2000-02-03,0.7738884091377258,0.7769620526816161,0.7741604306066803,0.002801622074935839,0.007025420650631068,-0.004223798575695229,0,1,0.0,0.0
2000-02-04,0.8090013265609741,0.7818911717399788,0.7767412377144058,0.005149934025572955,0.006650323325619446,-0.0015003893000464907,0,1,0.0,0.0
2000-02-07,0.854413628578186,0.7930484727920106,0.78249474814876,0.010553724643250662,0.007431003589145689,0.0031227210541049724,1,1,1.0,0.0
2000-02-08,0.8605003952980042,0.8034256916390866,0.7882729442338892,0.015152747405197453,0.008975352352356043,0.0061773950528414105,1,1,0.0,0.0
2000-02-09,0.8436455726623535,0.8096133656426662,0.7923746204137754,0.017238745228890795,0.010628030927662993,0.0066107143012278016,1,1,0.0,0.0
2000-02-10,0.8502004146575928,0.815857527029578,0.7966580125799841,0.01919951444959389,0.012342327632049174,0.006857186817544717,1,1,0.0,0.0
2000-02-11,0.8146188259124756,0.8156669576269469,0.7979884431972057,0.01767851442974111,0.013409564991587563,0.0042689494381535475,1,1,0.0,0.0
2000-02-14,0.8675224184989929,0.8236447208380309,0.8031391080343752,0.020505612803655704,0.014828774554001192,0.005676838249654512,1,1,0.0,0.0
2000-02-15,0.8913994431495667,0.8340685242705749,0.8096769106355004,0.02439161363507447,0.016741342370215847,0.007650271264858625,1,1,0.0,0.0
2000-02-16,0.8548818230628967,0.8372705702386244,0.8130254226671594,0.02424514757146501,0.018242103410465678,0.006003044160999331,1,1,0.0,0.0
2000-02-17,0.8605003952980042,0.840844389478529,0.8165420873064811,0.024302302172047874,0.019454143162782118,0.004848159009265756,1,1,0.0,0.0
2000-02-18,0.8333463668823242,0.8396908475406514,0.8177868487565436,0.02190399878410776,0.019944114287047246,0.001959884497060513,1,1,0.0,0.0
2000-02-22,0.8525410890579224,0.8416678077740777,0.8203612369270161,0.021306570847061557,0.02021660559905011,0.0010899652480114465,1,1,0.0,0.0
2000-02-23,0.8707994818687439,0.8461496037886417,0.8240974032189959,0.02205220056964574,0.020583724593169237,0.0014684759764765042,1,1,0.0,0.0
2000-02-24,0.8629575967788696,0.8487354488640614,0.8269759360752829,0.021759512788778523,0.020818882232291093,0.0009406305564874304,1,1,0.0,0.0
2000-02-25,0.8267916440963745,0.8453594788998019,0.8269622848175859,0.018397194082215962,0.020334544602276065,-0.0019373505200601035,0,1,-1.0,0.0
2000-02-28,0.8483276963233948,0.8458161277342009,0.8285449078920902,0.017271219842110663,0.019721879650242986,-0.0024506598081323223,0,1,0.0,0.0
2000-02-29,0.8586277365684509,0.8477871444779317,0.8307732655718206,0.017013878906111057,0.0191802795014166,-0.0021664005953055433,0,1,0.0,0.0
2000-03-01,0.9761383533477783,0.867533484304062,0.8415410498515212,0.025992434452540736,0.020542710491641428,0.005449723960899308,1,1,1.0,0.0
2000-03-02,0.9138718843460083,0.8746624689258998,0.8468988894437054,0.027763579482194434,0.02198688428975203,0.005776695192442404,1,1,0.0,0.0
2000-03-03,0.9588159322738647,0.8876091555948175,0.8551890407644579,0.03242011483035956,0.024073530397873535,0.008346584432486023,1,1,0.0,0.0
2000-03-06,0.9414944648742676,0.8958992031762714,0.8615820351429624,0.034317168033308976,0.026122257924960625,0.00819491010834835,1,1,0.0,0.0
2000-03-07,0.920426070690155,0.8996725674091766,0.8659408525909026,0.03373171481827397,0.027644149303623296,0.006087565514650676,1,1,0.0,0.0
2000-03-08,0.9138718843460083,0.9018570777071506,0.8694912993875771,0.032365778319573546,0.02858847510681335,0.0037773032127601976,1,1,0.0,0.0
2000-03-09,0.9157447218894958,0.9039936383505883,0.8729174788321636,0.031076159518424684,0.02908601198913562,0.001990147529289065,1,1,0.0,0.0
2000-03-10,0.941962480545044,0.9098349986881968,0.8780319234034881,0.031803075284708715,0.02962942464825024,0.0021736506364584754,1,1,0.0,0.0
2000-03-13,0.9087219834327698,0.9096637655719773,0.880305261183435,0.02935850438854226,0.029575240596308644,-0.00021673620776638258,0,1,-1.0,0.0
2000-03-14,0.8558180928230286,0.9013798159182929,0.8784913968604419,0.022888419057850995,0.028237876288617115,-0.00534945723076612,0,1,0.0,0.0
2000-03-15,0.8707994818687439,0.8966751491414391,0.8779216253795753,0.01875352376186379,0.026341005783266452,-0.007587482021402664,0,1,0.0,0.0
2000-03-16,0.9105943441390991,0.8988165637564637,0.8803418267691696,0.01847473698729407,0.024767752024071978,-0.006293015036777906,0,1,0.0,0.0
2000-03-17,0.9363435506820679,0.9045899463604028,0.8844901026145695,0.02009984374583329,0.02383417036842424,-0.0037343266225909506,0,1,0.0,0.0
2000-03-20,0.9213622212409973,0.9071702963420327,0.8872213706609715,0.019948925681061214,0.023057121430951635,-0.0031081957498904217,0,1,0.0,0.0
2000-03-21,1.010783314704895,0.92311076070555,0.8963741072568178,0.026736653448732217,0.023793027834507752,0.0029436256142244648,1,1,1.0,0.0
2000-03-22,1.0800724029541016,0.9472587056668655,0.9099813884195795,0.037277317247286,0.026489885717063403,0.010787431530222599,1,1,0.0,0.0
2000-03-23,1.0585366487503052,0.9643783892181639,0.9209854817774111,0.04339290744075275,0.029870490061801272,0.013522417378951476,1,1,0.0,0.0
2000-03-24,1.038873553276062,0.9758391836886098,0.9297179315180519,0.04612125217055785,0.03312064248355259,0.013000609687005255,1,1,0.0,0.0
2000-03-27,1.0454280376434326,0.986545161220121,0.9382890504903023,0.048256110729818724,0.03614773613280582,0.012108374597012903,1,1,0.0,0.0
2000-03-28,1.0421514511108398,0.9950999750494623,0.9459825616473791,0.0491174134020832,0.0387416715866613,0.010375741815421897,1,1,0.0,0.0
2000-03-29,1.0182740688323975,0.9986652202468369,0.9513374881055287,0.047327732141308254,0.040458883697590695,0.0068688484437175595,1,1,0.0,0.0
2000-03-30,0.941962480545044,0.9899417218311763,0.9506430431010483,0.039298678730128045,0.04022684270409817,-0.0009281639739701225,0,1,-1.0,0.0
2000-03-31,1.0173379182815552,0.9941565212850807,0.9555834042255303,0.038573117059550355,0.03989609757518861,-0.0013229805156382557,0,1,0.0,0.0
2000-04-03,0.9986107349395752,0.9948417849242337,0.9587706139080522,0.036071171016181514,0.03913111226338719,-0.003059941247205676,0,1,0.0,0.0
2000-04-04,0.9536664485931396,0.9885071177963731,0.958392527588429,0.03011459020794416,0.03732780785229858,-0.007213217644354425,0,1,0.0,0.0
